Product_Name,Category,Personal_Color_Type,Bone_Structure_Type,Color_Group,Description
グロッシーネイルポリッシュ,ネイル,イエベ秋,ストレート,ベビーピンク,透明感のある発色で、自然な仕上がりに。
コンフォートスニーカー,シューズ,ブルベ夏,ストレート,ネイビーブルー,高機能で肌に優しい処方です。
モイスチャーファンデ,ベースメイク,イエベ春,ストレート,ベージュ,日常使いに最適な、肌馴染みの良いアイテムです。
ナチュラルチーク,チーク,ブルベ冬,ウェーブ,ブラウン,リラックス感がありながらも、こなれた印象に仕上げます。
コンフォートスニーカー,シューズ,イエベ秋,ウェーブ,ホワイト,トレンドを取り入れたシルエットで今っぽさを演出。
シンプルスカート,ボトムス,イエベ秋,ナチュラル,アイボリー,トレンドを取り入れたシルエットで今っぽさを演出。
シャイニーアイシャドウ リキッド,アイシャドウ,ブルベ夏,ナチュラル,ミントグリーン,快適な履き心地で長時間の移動にもおすすめです。
グロッシーネイルポリッシュ,ネイル,ブルベ冬,ナチュラル,ベージュ,血色感をプラスし、健康的な印象を演出します。
ベーシックシャツ Tシャツ,トップス,ブルベ夏,ウェーブ,スカイブルー,洗練されたデザインでビジネスシーンにも活躍します。
グロッシーネイルポリッシュ,ネイル,ブルベ夏,ナチュラル,ホワイト,洗練されたデザインでビジネスシーンにも活躍します。
シンプルスカート,ボトムス,イエベ春,ウェーブ,ブラック,血色感をプラスし、健康的な印象を演出します。
ドロップショルダーT Tシャツ,トップス,ブルベ冬,ナチュラル,ブラック,上質な素材で肌触りも良く、着心地抜群です。
モイスチャーファンデ,ベースメイク,イエベ秋,ナチュラル,アイボリー,快適なフィット感で歩きやすく、疲れにくいです。
ナチュラルチーク,チーク,ブルベ冬,ナチュラル,ピーチ,指先を美しく彩る高発色ネイルポリッシュ。
トレンチコート,アウター,ブルベ冬,ウェーブ,カーキ,乾燥しにくく、しっとりとした潤いが続きます。
スリムフィットデニム,ボトムス,ブルベ夏,ストレート,インディゴ,オフィスにも着ていける上品なデザインが魅力です。
シンプルスカート,ボトムス,ブルベ冬,ウェーブ,アイボリー,日常使いに最適な、上質な素材を使用しています。
ナチュラルチーク,チーク,イエベ秋,ストレート,ベージュ,繊細なラメが光を反射し、華やかさをプラスします。
ミニマルフープピアス,アクセサリー,イエベ春,ウェーブ,シルバー,繊細なラメが光を反射し、華やかさをプラスします。
プリントワンピース,ワンピース,ブルベ夏,ウェーブ,イエローゴールド,季節の変わり目に重宝する、着回し力の高いアイテム。
グロッシーネイルポリッシュ,ネイル,ブルベ夏,ウェーブ,グレー,重ね塗りで印象が自由自在に変わります。
ストレートパンツ,ボトムス,ブルベ夏,ナチュラル,ネイビーブルー,快適なフィット感で歩きやすく、疲れにくいです。
コンフォートスニーカー,シューズ,イエベ秋,ナチュラル,グレー,大容量で普段使いに最適なバッグ。
シンプルスカート,ボトムス,ブルベ冬,ウェーブ,ダスティローズ,トレンドを取り入れたシルエットで今っぽさを演出。
トレンチコート,アウター,ブルベ夏,ストレート,ネイビーブルー,日常使いに最適な、肌馴染みの良いアイテムです。
コンフォートスニーカー,シューズ,イエベ春,ナチュラル,グレー,定番のアイテムで、どんなボトムスにも合わせやすいです。
モイスチャーファンデ,ベースメイク,ブルベ夏,ストレート,ベージュ,どんなスタイルにも合わせやすい、万能なシューズ。
ドロップショルダーT シャツ,トップス,ブルベ冬,ストレート,アースカラー,長時間よれにくいウォータープルーフ処方です。
クルーネックニット シャツ,トップス,イエベ春,ナチュラル,バーガンディ,透明感のある発色で、自然な仕上がりに。
レザートート,バッグ,イエベ春,ナチュラル,ワインレッド,快適なフィット感で歩きやすく、疲れにくいです。
ナチュラルチーク,チーク,ブルベ冬,ナチュラル,ベージュ,上質な素材で肌触りも良く、着心地抜群です。
シャイニーアイシャドウ シングル,アイシャドウ,イエベ春,ウェーブ,ラベンダー,どんなスタイルにも合わせやすい、万能なシューズ。
ミニマルフープピアス,アクセサリー,イエベ春,ナチュラル,シルバー,定番のアイテムで、どんなボトムスにも合わせやすいです。
プリントワンピース,ワンピース,ブルベ冬,ストレート,レッド,上質な素材で肌触りも良く、着心地抜群です。
プリントワンピース,ワンピース,ブルベ冬,ウェーブ,スカイブルー,一日中崩れにくい、完璧なベースメイクを叶えます。
シンプルスカート,ボトムス,ブルベ夏,ナチュラル,ライトブルー,女性らしい柔らかな印象を与えるデザインが魅力です。
レザートート,バッグ,ブルベ冬,ナチュラル,ワインレッド,なめらかなテクスチャーで肌にすっと伸びます。
レザートート,バッグ,イエベ春,ウェーブ,ブラウン,洗練されたデザインでビジネスシーンにも活躍します。
モイスチャーファンデ,ベースメイク,ブルベ夏,ナチュラル,ベージュ,日常使いに最適な、肌馴染みの良いアイテムです。
ドロップショルダーT セーター,トップス,ブルベ夏,ナチュラル,オレンジ,長時間よれにくいウォータープルーフ処方です。
グロッシーネイルポリッシュ,ネイル,ブルベ冬,ストレート,ホワイト,日常使いに最適な、上質な素材を使用しています。
シンプルスカート,ボトムス,イエベ秋,ナチュラル,ブラック,なめらかなテクスチャーで肌にすっと伸びます。
トレンチコート,アウター,イエベ秋,ウェーブ,ベージュ,重ね塗りで印象が自由自在に変わります。
シルキーリップ ティント,リップ,ブルベ冬,ナチュラル,ソフトピーチ,季節の変わり目に重宝する、着回し力の高いアイテム。
シャイニーアイシャドウ リキッド,アイシャドウ,ブルベ夏,ナチュラル,ブラウン,一枚でサマになる、エレガントなワンピース。
シルキーリップ スティック,リップ,イエベ秋,ナチュラル,ベビーピンク,日常使いに最適な、上質な素材を使用しています。
クルーネックニット Tシャツ,トップス,イエベ春,ナチュラル,チャコールグレー,なめらかなテクスチャーで肌にすっと伸びます。
ベーシックシャツ セーター,トップス,イエベ春,ストレート,ベージュ,足元をエレガントに演出するデザインです。
コンフォートスニーカー,シューズ,イエベ春,ストレート,ネイビーブルー,脚長効果抜群のスリムフィットパンツ。
シャイニーアイシャドウ シングル,アイシャドウ,ブルベ冬,ナチュラル,ブラウン,日常使いに最適な、上質な素材を使用しています。
ナチュラルチーク,チーク,ブルベ夏,ストレート,コーラル,上質な素材で肌触りも良く、着心地抜群です。
ナチュラルチーク,チーク,ブルベ夏,ストレート,ブラウン,女性らしい柔らかな印象を与えるデザインが魅力です。
スリムフィットデニム,ボトムス,ブルベ冬,ストレート,インディゴ,上質な素材で肌触りも良く、着心地抜群です。
ストレートパンツ,ボトムス,イエベ秋,ウェーブ,グレー,上品なシルエットで、どんなスタイルにもマッチします。
ナチュラルチーク,チーク,ブルベ冬,ウェーブ,ピーチ,足元をエレガントに演出するデザインです。
グロッシーネイルポリッシュ,ネイル,イエベ秋,ウェーブ,ネイビーブルー,快適な履き心地で長時間の移動にもおすすめです。
ベーシックシャツ Tシャツ,トップス,ブルベ夏,ストレート,ベージュ,休日のカジュアルスタイルにもぴったりの一着。
ベーシックシャツ セーター,トップス,イエベ秋,ナチュラル,ブラック,すっきりとしたシルエットでスタイルアップ効果も。
モイスチャーファンデ,ベースメイク,イエベ秋,ウェーブ,ベージュ,顔周りを華やかに彩る、アクセントになる一品。
ナチュラルチーク,チーク,ブルベ冬,ナチュラル,フューシャ,日常使いに最適な、肌馴染みの良いアイテムです。
コンフォートスニーカー,シューズ,イエベ春,ウェーブ,ブラック,自然なツヤ感で立体感を演出するメイクアイテム。
グロッシーネイルポリッシュ,ネイル,ブルベ冬,ナチュラル,グレー,顔周りを華やかに彩る、アクセントになる一品。
モイスチャーファンデ,ベースメイク,イエベ秋,ストレート,ベージュ,女性らしい柔らかな印象を与えるデザインが魅力です。
プリントワンピース,ワンピース,イエベ秋,ストレート,スカイブルー,一枚でサマになる、エレガントなワンピース。
グロッシーネイルポリッシュ,ネイル,イエベ秋,ストレート,ホワイト,快適なフィット感で歩きやすく、疲れにくいです。
ベーシックシャツ ブラウス,トップス,ブルベ冬,ストレート,ブラック,オフィスにも着ていける上品なデザインが魅力です。
ナチュラルチーク,チーク,イエベ秋,ウェーブ,ピーチ,快適な履き心地で長時間の移動にもおすすめです。
